Season ID,Season,Player ID,Player,Position,Age,Experience,League,Team,Games,Minutes,Player Efficiency Rating,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 48 Minutes,Offensive Box Plus/Minus,Defensive Box Plus/Minus,Box Plus/Minus,Value over Replacement Player
30507,2023,4911,Braxton Key,SF,25,2,NBA,DET,3,9,18.6,1.064,0,2,0,12.7,6.2,0,0,0,0,8.9,0,0,0,0.242,2.2,0.8,2.9,0
49,1947,41,Deb Smith,F,27,1,BAA,STB,48,,,0.285,,0.176,,,,,,,,,-0.2,0.9,0.7,,,,,
127,1947,106,John Murphy,F,22,1,BAA,NYK,9,,,0.396,,0.48,,,,,,,,,0.3,0,0.3,,,,,
128,1947,106,John Murphy,F,22,1,BAA,PHW,11,,,0.245,,0.2,,,,,,,,,-0.1,0.1,0,,,,,
31026,2023,4561,Ryan Arcidiacono,PG,28,6,NBA,NYK,11,26,3.1,0.3,0.6,0,0,17,8.4,9.3,3.8,0,16.7,9.9,0,0,0,-0.012,-8.9,3.8,-5.1,0
29930,2022,3942,Greg Monroe,C,31,10,NBA,WAS,2,18,25.1,0.5,0,0,43.8,18.2,30.8,9,2.7,4.7,20,24.7,0,0,0.1,0.135,-0.1,-4.3,-4.4,0
30089,2022,4743,Juwan Morgan,PF,24,3,NBA,BOS,1,4,0,,,,0,0,0,0,0,0,,0,0,0,0,0.024,-4,-2,-6,0
30172,2022,4985,Malcolm Hill,SG,26,1,NBA,ATL,3,46,19,0.871,0.625,0.5,4.8,9.5,7.1,2.9,4.3,1.9,0,9.3,0.2,0.1,0.2,0.252,0.3,3.5,3.8,0.1
5466,1973,1121,John Trapp,SF,27,5,NBA,TOT,44,889,12.3,0.456,,0.29,,,10,8,,,,,-0.1,0.5,0.4,0.021,,,,
27922,2019,4520,John Holland,SF,30,2,NBA,CLE,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.032,-3.4,-1.6,-5,0
